director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,actor_1_name,Movie,num_voted_users,cast_total_facebook_likes,num_user_for_reviews,country,content_rating,actor_2_facebook_likes,imdb_score,movie_facebook_likes,Production Budget,Domestic Gross,Worldwide Gross,Month,Year,0,1,2,3,4,5,6,7,Thriller,Sci-Fi,Comedy,Fantasy,Family,Action,Animation,Documentary,Biography,Music,Mystery,Crime,News,Musical,Reality-TV,Game-Show,History,Western,Film-Noir,Horror,Short,Drama,Romance,War,Sport,Adventure
Guillermo del Toro,242.0,132.0,0.0,Rupert Evans,366.0,Action|Fantasy|Horror|Sci-Fi,James Babson,Hellboy,244566,1112,597.0,USA,2,334.0,6.8,0,50000000.0,21903748.0,40786480.0,4,2019,Action,Fantasy,Horror,Sci-Fi,,,,,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
John Singleton,160.0,99.0,309.0,Vanessa Williams,23000.0,Action|Crime|Thriller,Christian Bale,Shaft,58416,26527,301.0,Germany,3,1000.0,5.9,0,30000000.0,21360215.0,21360215.0,6,2019,Action,Crime,Thriller,,,,,,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joss Whedon,276.0,119.0,0.0,Sean Maher,2000.0,Action|Adventure|Sci-Fi|Thriller,Adam Baldwin,Serenity,242599,2853,1594.0,USA,2,505.0,8.0,14000,25000000.0,8547045.0,12941595.0,1,2019,Action,Adventure,Sci-Fi,Thriller,,,,,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ron Clements,124.0,90.0,63.0,Frank Welker,49000.0,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,Robin Williams,Aladdin,260939,52970,244.0,USA,1,2000.0,8.0,0,182000000.0,354929567.0,1037429567.0,5,2019,Adventure,Animation,Comedy,Family,Fantasy,Musical,Romance,,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
Mary Lambert,98.0,103.0,52.0,Fred Gwynne,969.0,Fantasy|Horror,Miko Hughes,Pet Sematary,63855,2987,248.0,USA,3,886.0,6.6,0,21000000.0,54724696.0,109501146.0,4,2019,Fantasy,Horror,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
David Hunt,1.0,112.0,0.0,Chris Cleveland,86.0,Horror,Matthew Alan,Living Dark: The Story of Ted the Caver,28,139,1.0,USA,2,42.0,6.3,73,1750000.0,0.0,0.0,4,2019,Horror,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
